"timestamp","ntnx-ahv01","ntnx-ahv02","ntnx-ahv03"
"2024/05/25 17:22:00","244479","260041","246101"
"2024/05/25 17:22:30","181708","188373","196528"
"2024/05/25 17:23:00","210418","299833","215828"
"2024/05/25 17:23:30","172134","147082","121072"
"2024/05/25 17:24:00","227531","253603","252112"
"2024/05/25 17:24:30","184166","193983","212283"
"2024/05/25 17:25:00","233925","336073","254926"
"2024/05/25 17:25:30","237717","151963","125136"
"2024/05/25 17:26:00","224627","235413","279128"
"2024/05/25 17:26:30","159210","172302","176861"
"2024/05/25 17:27:00","240917","266127","219649"
"2024/05/25 17:27:30","201102","163493","146114"
"2024/05/25 17:28:00","234579","277524","238865"
"2024/05/25 17:28:30","180554","203172","203785"
"2024/05/25 17:29:00","215658","270519","240758"
"2024/05/25 17:29:30","202751","144002","126153"
"2024/05/25 17:30:00","273895","410883","275651"
"2024/05/25 17:30:30","222997","176397","147982"
"2024/05/25 17:31:00","223827","274048","312120"
"2024/05/25 17:31:30","179267","150134","124546"
"2024/05/25 17:32:00","253502","234738","221148"
"2024/05/25 17:32:30","285424","220167","244429"
"2024/05/25 17:33:00","215633","327656","261481"
"2024/05/25 17:33:30","110036","176673","125902"
"2024/05/25 17:34:00","296250","228177","222114"
"2024/05/25 17:34:30","160039","171739","144616"
"2024/05/25 17:35:00","248998","322093","296094"
"2024/05/25 17:35:30","197471","186122","130763"
"2024/05/25 17:36:00","252166","241278","280396"
"2024/05/25 17:36:30","170486","200628","173215"
"2024/05/25 17:37:00","228827","237809","254472"
"2024/05/25 17:37:30","154501","188599","132695"
"2024/05/25 17:38:00","256638","323334","222573"
"2024/05/25 17:38:30","156328","181042","154262"
"2024/05/25 17:39:00","201128","226678","257023"
"2024/05/25 17:39:30","162481","182862","123781"
"2024/05/25 17:40:00","256732","299340","235118"
"2024/05/25 17:40:30","226669","200826","176365"
"2024/05/25 17:41:00","233206","234021","325831"
"2024/05/25 17:41:30","139193","200290","122813"
"2024/05/25 17:42:00","255386","233360","221459"
"2024/05/25 17:42:30","172343","175040","160389"
"2024/05/25 17:43:00","215772","269549","229604"
